id_vimeo;date;jour_semaine;heure;type_yoga;niveau;date_heure_niveau;nom_kriya;manuel;page;pagr_fr;nom_meditation;manuel;page_mediation;page_fr_meditation;lien_facebook;lien_youtube;lien_vimeo;hd;mots_cles;lien_k-yoga.tv_fb;lien_k-yoga.tv_yt;lien_k-yoga.tv_vim;duree_totale;duree_totale_secondes;visionnage_live;nbre_live_apres_cours;percent_retention_cours;nbre_live_apres_relaxation;percent_retention_relaxation;nbre_live_fin;percent_retention_fin
400925415;43913;1;17H00;KUNDALINI;TOUT NIVEAU;1 23/3 17H00 KUNDALINI TOUT NIVEAU;Flexibilité de la colonne vertébrale;Manuel de formation;14;340;THe Caliber of Life Meditation;Manuel de formation;63;389;Https://www.facebook.com/SiriFateHYoga/videos/1190617271277270/;Https://youtu.be/aPW5nnmlKd0;Https://vimeo.com/400925415;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2332020-2;http://k-yoga.tv/yt-2332020-2;http://k-yoga.tv/vim-2332020-2;0,062800926;5426;1391;1301;0,935298347;1110;0,79798706;871;0,626168224
400925430;43914;2;12H00;KUNDALINI;TOUT NIVEAU;2 24/3 12H00 KUNDALINI TOUT NIVEAU;Kriya pour l'élévation;Manuel de formation;17;343;Meditation to Know tHe Field;Manuel de formation;74;400;Https://www.facebook.com/SiriFateHYoga/videos/875995526199045/;Https://youtu.be/dTOAmsHzf1g;Https://vimeo.com/400925430;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2432020;http://k-yoga.tv/yt-2432020;http://k-yoga.tv/vim-2432020;0,063993056;5529;1715;1550;0,903790087;1300;0,758017493;904;0,527113703
400925455;43915;3;19H25;KUNDALINI;TOUT NIVEAU;3 25/3 19H25 KUNDALINI TOUT NIVEAU;NabHi Kriya;Manuel de formation;19;345;Perspective and Emotional Balance;Manuel de formation;78;404;Https://www.facebook.com/SiriFateHYoga/videos/258072328531726/;Https://youtu.be/1Fnsqv4t1J0;Https://vimeo.com/400925455;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2532020;http://k-yoga.tv/yt-2532020;http://k-yoga.tv/vim-2532020;0,0625;5400;1398;1208;0,864091559;918;0,656652361;529;0,378397711
401258845;43916;4;18H00;KUNDALINI;TOUT NIVEAU;4 26/3 18H00 KUNDALINI TOUT NIVEAU;Kriya for acHieving Comfortable,Happy Sleep;Infinity and Me;36;;Meditation to develop tHe Self-Sensory System;Manuel de formation;72;398;Https://www.facebook.com/SiriFateHYoga/videos/225294398830106/;Https://youtu.be/H-E3NmorZg4;Https://vimeo.com/401258845;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2632020;http://k-yoga.tv/yt-2632020;http://k-yoga.tv/vim-2632020;0,058449074;5050;1280;1067;0,83359375;906;0,7078125;632;0,49375
401513302;43917;5;12H25;KUNDALINI;TOUT NIVEAU;5 27/3 12H25 KUNDALINI TOUT NIVEAU;Exercice set for tHe kidneys;Manuel de formation;29;;Inner Conflict Resolvers REflex;Manuel de formation;66;392;Https://www.facebook.com/102034261250363/videos/214854573182571/;Https://youtu.be/Ulsr4x4H5nA;Https://vimeo.com/401513302;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2732020;http://k-yoga.tv/yt-2732020;http://k-yoga.tv/vim-2732020;0,065046296;5620;837;761;0,909199522;670;0,800477897;300;0,358422939
402012147;43918;6;10H00;KUNDALINI;TOUT NIVEAU;6 28/3 10H00 KUNDALINI TOUT NIVEAU;Angular Body Energy;Self Knowledge;3;;Ecel and Build your Healing Force;ReacHing Me in Me;50;;Https://www.facebook.com/SiriFateHYoga/videos/207259490598623/;Https://youtu.be/DLwD4CmYieY;Https://vimeo.com/402012147;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2832020;http://k-yoga.tv/yt-2832020;http://k-yoga.tv/vim-2832020;0,053912037;4658;1270;1199;0,944094488;1023;0,805511811;821;0,646456693
402172357;43919;7;11H00;KUNDALINI;TOUT NIVEAU;7 29/3 11H00 KUNDALINI TOUT NIVEAU;Adjusting tHe Centers of Interonnection and Intercommunication;ReacHing Me in Me;1;;Removing Fear of tHe Future;Self Knowledge;26;;Https://www.facebook.com/SiriFateHYoga/videos/223309498780503/;Https://youtu.be/EXGzoima8l4;Https://vimeo.com/402172357;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2932020;http://k-yoga.tv/yt-2932020;http://k-yoga.tv/vim-2932020;0,047337963;4090;1309;1240;0,947288006;1081;0,825821238;907;0,69289534
402122381;43920;1;12H00;HATHA;TOUT NIVEAU;1 30/3 12H00 HATHA TOUT NIVEAU;Introduction au HatHa Yoga;;;;Méditation Voir les yeux fermés;;;;Https://www.facebook.com/102034261250363/videos/530178317696921/;Https://youtu.be/xtRcsb6JDrs;Https://vimeo.com/402122381;;#KYOGA #YOGA #HATHA;http://k-yoga.tv/fb-3032020;http://k-yoga.tv/yt-3032020;http://k-yoga.tv/vim-3032020;0,052650463;4549;715;634;0,886713287;514;0,718881119;402;0,562237762
402208546;43920;1;17H00;KUNDALINI;TOUT NIVEAU;1 30/3 17H00 KUNDALINI TOUT NIVEAU;Coordinating tHe Mind, Body and Soul;Self Knowledge;10;;Experiencing tHe Original You;Self Knowledge;43;;Https://www.facebook.com/SiriFateHYoga/videos/1246037549121291/;Https://youtu.be/OXYC1kUXnlo;Https://vimeo.com/402208546;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-3032020-2;http://k-yoga.tv/yt-3032020-2;http://k-yoga.tv/vim-3032020-2;0,054780093;4733;556;497;0,893884892;418;0,751798561;297;0,534172662
402495568;43921;2;12H00;KUNDALINI;TOUT NIVEAU;2 31/3 12H00 KUNDALINI TOUT NIVEAU;HealtHy Bowel System;Manuel de formation;33;359;THe SusHmuna;Self Knowledge;47;;Https://www.facebook.com/102034261250363/videos/662120217880506/;Https://youtu.be/xRRycZ7yw7Y;Https://vimeo.com/402495568;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-3132020;http://k-yoga.tv/yt-3132020;http://k-yoga.tv/vim-3132020;0,043125;3726;651;625;0,960061444;532;0,817204301;366;0,562211982
403004667;43922;3;19H25;KUNDALINI;TOUT NIVEAU;3 1/4 19H25 KUNDALINI TOUT NIVEAU;Preparatory exercices for lungs, magnetic field & Deep meditation;Manuel de formation;40;366;THe Ida;Self Knowledge;48;;Https://www.facebook.com/SiriFateHYoga/videos/242639550461732/;Https://youtu.be/pFHjNuJyI20;Https://vimeo.com/403004667;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-142020;http://k-yoga.tv/yt-142020;http://k-yoga.tv/vim-142020;0,058287037;5036;592;531;0,896959459;462;0,780405405;289;0,488175676
403354263;43923;4;18H00;KUNDALINI;NIVEAU AVANCÉ;4 2/4 18H00 KUNDALINI NIVEAU AVANCÉ;Navel Adjustment Kriya + Disease Resistance & Heart Helper;Manuel de formation;42 & 28;368 & 354;THe Pingala;Self Knowledge;49;;Https://www.facebook.com/SiriFateHYoga/videos/761882221004187/;Https://youtu.be/nM0crpKgSwY;Https://vimeo.com/403354263;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-242020;http://k-yoga.tv/yt-242020;http://k-yoga.tv/vim-242020;0,060081019;5191;624;552;0,884615385;481;0,770833333;341;0,546474359
403634773;43924;5;12H25;KUNDALINI;TOUT NIVEAU;5 3/4 12H25 KUNDALINI TOUT NIVEAU;Foundation for Infinity;Manuel de formation;31;357;Tattva Balance Beyond Stress & Duality;Manuel de formation;80;406;Https://www.facebook.com/SiriFateHYoga/videos/1390248677829111/;Https://youtu.be/ZfGT6slxDOw;Https://vimeo.com/403634773;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-342020;http://k-yoga.tv/yt-342020;http://k-yoga.tv/vim-342020;0,053368056;4611;496;467;0,941532258;412;0,830645161;337;0,679435484
403962518;43925;6;10H00;KUNDALINI;TOUT NIVEAU;6 4/4 10H00 KUNDALINI TOUT NIVEAU;New Lungs and circulation;Manuel de formation;45;371;Meditation to Conquer Self-Animosity;Manuel de formation;71;397;Https://www.facebook.com/SiriFateHYoga/videos/221346349083630/;Https://youtu.be/ZuxaXunLHNA;Https://vimeo.com/403962518;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-442020;http://k-yoga.tv/yt-442020;http://k-yoga.tv/vim-442020;0,056597222;4890;930;872;0,937634409;723;0,777419355;567;0,609677419
404230265;43926;7;11H00;KUNDALINI;TOUT NIVEAU;7 5/4 11H00 KUNDALINI TOUT NIVEAU;Pituitary Gland Series;Manuel de formation;47;373;MaHan Gyan Mudra;Manuel de formation;68;394;https://www.facebook.com/SiriFatehYoga/videos/636171316942837/;https://youtu.be/B9J-8Xc_Yeg;https://vimeo.com/404230265;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-542020;http://k-yoga.tv/yt-542020;http://k-yoga.tv/vim-542020;0,059166667;5112;1081;1024;0,947271045;914;0,845513414;694;0,64199815
404541577;43927;1;12H00;HATHA;TOUT NIVEAU;1 6/4 12H00 HATHA TOUT NIVEAU;Hatha Yoga, on poursuit la découverte;;;;Méditation Entendre l'indiscible son;;;;https://www.facebook.com/SiriFatehYoga/videos/2791225047662831/;https://youtu.be/miIIEFubsQM;https://vimeo.com/404541577;;#KYOGA #YOGA #HATHA;http://k-yoga.tv/fb-642020;http://k-yoga.tv/yt-642020;http://k-yoga.tv/vim-642020;0,053877315;4655;660;590;0,893939394;515;0,78030303;410;0,621212121
404626924;43927;1;17H00;KUNDALINI;NIVEAU AVANCÉ;1 6/4 17H00 KUNDALINI NIVEAU AVANCÉ;Renforcer l'Aura & Résistance à la maladie et Aide pour le Coeur;Manuel de formation;23 & 28;349 & 354;Méditation du coeur libéré;Manuel de formation;67;393;https://www.facebook.com/SiriFatehYoga/videos/2583516821891250/;https://youtu.be/P1ETcTyNTfE;https://vimeo.com/404626924;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-642020-2;http://k-yoga.tv/yt-642020-2;http://k-yoga.tv/vim-642020-2;0,058449074;5050;400;333;0,8325;280;0,7;180;0,45
404955940;43928;2;12H00;KUNDALINI;TOUT NIVEAU;2 7/4 12H00 KUNDALINI TOUT NIVEAU;Equilibre Prana : apana;Manuel de formation;48;374;Apporter de l'Autorité sur Soi-même;Manuel de formation ;62;388;https://www.facebook.com/102034261250363/videos/224371825436403/;https://youtu.be/_rnYUR3-HGs;https://vimeo.com/404955940;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-742020;http://k-yoga.tv/yt-742020;http://k-yoga.tv/vim-742020;0,056724537;4901;630;595;0,944444444;470;0,746031746;360;0,571428571
405516912;43929;3;19H25;KUNDALINI;TOUT NIVEAU;3 8/4 19H25 KUNDALINI TOUT NIVEAU;Entrainement au Sat Kriya;Manuel de formation;53;379;Méditation pour changer l'Ego;Manuel e formation;70;396;https://www.facebook.com/SiriFatehYoga/videos/2642546862682530/;https://youtu.be/E5AWgk9ORhI;https://vimeo.com/405516912;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-842020;http://k-yoga.tv/yt-842020;http://k-yoga.tv/vim-842020;0,058472222;5052;488;411;0,842213115;357;0,731557377;262;0,536885246
405884740;43930;4;18H00;KUNDALINI;NIVEAU AVANCÉ;4 9/4 18H00 KUNDALINI NIVEAU AVANCÉ;Transformer le triangle inférieur en triangle supérieur;Manuel de formation;51;377;Méditation de la polarité - Mudra Méditation;Manuel e formation;64;390;https://www.facebook.com/SiriFatehYoga/videos/514076132802105/;https://youtu.be/f3ZsHGh-8hw;https://vimeo.com/405884740;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-942020;http://k-yoga.tv/yt-942020;http://k-yoga.tv/vim-942020;0,061666667;5328;445;396;0,88988764;350;0,786516854;260;0,584269663
406156695;43931;5;12H25;KUNDALINI;TOUT NIVEAU;5 10/4 12H25 KUNDALINI TOUT NIVEAU;Série pour réduire le stress des reins et surrénales;Manuel de formation;24;350;Anuloma Viloma;Mnuel de formation;76;402;https://www.facebook.com/SiriFatehYoga/videos/215435219792515/;https://youtu.be/P6MvRwbNqDE;https://vimeo.com/406156695;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1042020;http://k-yoga.tv/yt-1042020;http://k-yoga.tv/vim-1042020;0,056631944;4893;422;390;0,924170616;337;0,798578199;260;0,616113744
406468123;43932;6;10H00;KUNDALINI;TOUT NIVEAU;6 11/4 10H00 KUNDALINI TOUT NIVEAU;Série de la pratique du matin, variante 1;Manuel de formation;36;362;Séries de pranayama pour s'énergiser;Manuel de formation;77;403;https://www.facebook.com/SiriFatehYoga/videos/511002943138136/;https://youtu.be/aKcZVeadpkc;https://vimeo.com/406468123;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1142020;http://k-yoga.tv/yt-1142020;http://k-yoga.tv/vim-1142020;0,058298611;5037;722;695;0,962603878;552;0,764542936;437;0,605263158
406759550;43933;7;11H00;KUNDALINI;TOUT NIVEAU;7 12/4 11H00 KUNDALINI TOUT NIVEAU;Série de la pratique du matin variante 2;Manuel de formation;36;362;COmmunication Céleste ! ;;;;https://www.facebook.com/SiriFatehYoga/videos/833980233749689/;https://youtu.be/DN3aHMejrAU;https://vimeo.com/406759550;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1242020;http://k-yoga.tv/yt-1242020;http://k-yoga.tv/vim-1242020;0,053900463;4657;833;803;0,963985594;662;0,794717887;516;0,619447779
407087573;43934;1;12H00;HATHA;TOUT NIVEAU;1 13/4 12H00 HATHA TOUT NIVEAU;Hatha Yoga ;;;;;;;;https://www.facebook.com/SiriFatehYoga/videos/1005789819817928;https://youtu.be/FhyuLsxAVjY;https://vimeo.com/407087573;;#KYOGA #YOGA #HATHA;http://k-yoga.tv/fb-1342020;http://k-yoga.tv/yt-1342020;http://k-yoga.tv/vim-1342020;0,059664352;5155;625;555;0,888;495;0,792;345;0,552
407175106;43934;1;17H00;KUNDALINI;NIVEAU AVANCÉ;1 13/4 17H00 KUNDALINI NIVEAU AVANCÉ;Série Wahe Guru;Manuel de formation;54;380;Méditation pour un Soi stable;Manuel e formation;75;401;https://www.facebook.com/SiriFatehYoga/videos/226797728385003/;https://youtu.be/1jpc3nmFW8w;https://vimeo.com/407175106;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1342020-2;http://k-yoga.tv/yt-1342020-2;http://k-yoga.tv/vim-1342020-2;0,055810185;4822;367;322;0,877384196;256;0,697547684;200;0,544959128
407520111;43935;2;12H00;KUNDALINI;TOUT NIVEAU;2 14/4 12H00 KUNDALINI TOUT NIVEAU;1er Chakra - Série pour le premier chakra;Chloé;;;Méditation pour le premier chakra;Chloé;;;https://www.facebook.com/SiriFatehYoga/videos/1203253120005748/;https://youtu.be/6IGROUIDBb4;https://vimeo.com/407520111;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1442020;http://k-yoga.tv/yt-1442020;http://k-yoga.tv/vim-1442020;0,058854167;5085;556;520;0,935251799;466;0,838129496;308;0,553956835
408060279;43936;3;19H25;KUNDALINI;TOUT NIVEAU;3 15/4 19H25 KUNDALINI TOUT NIVEAU;2ème Chakra - Eliminer la tension prémenstruelle et équilibrter l'énergie sexuelle;Manuel de formation;49;375;Méditation pour le second chakra;Book;;;https://www.facebook.com/SiriFatehYoga/videos/2921450854604545/;https://youtu.be/oCzFdvmGo9U;https://vimeo.com/408060279;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1542020;http://k-yoga.tv/yt-1542020;http://k-yoga.tv/vim-1542020;0,059293981;5123;482;435;0,902489627;389;0,807053942;310;0,643153527
408460550;43937;4;18H00;KUNDALINI;NIVEAU AVANCÉ;4 16/4 18H00 KUNDALINI NIVEAU AVANCÉ;Sat Kriya;Manuel de formation;22;348;Méditation pour éliminer les Karmas;Master's Touch;208;;https://www.facebook.com/SiriFatehYoga/videos/652860685493667/;https://youtu.be/iCsAd42kXxU;https://vimeo.com/408460550;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1642020;http://k-yoga.tv/yt-1642020;http://k-yoga.tv/vim-1642020;0,062835648;5429;422;292;0,691943128;270;0,639810427;211;0,5
408793267;43938;5;12H25;KUNDALINI;TOUT NIVEAU;5 17/4 12H25 KUNDALINI TOUT NIVEAU;3ème Chakra - Nabhi Kriya;Manuel de Formation;19;345;Méditation pour le 3ème chakra;The Chakras;7;8;https://www.facebook.com/SiriFatehYoga/videos/3165449653476388/;https://youtu.be/J85b0DvfE_k;https://vimeo.com/408793267;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1742020;http://k-yoga.tv/yt-1742020;http://k-yoga.tv/vim-1742020;0,055034722;4755;420;405;0,964285714;357;0,85;287;0,683333333
409149809;43939;6;10H00;KUNDALINI;TOUT NIVEAU;6 18/4 10H00 KUNDALINI TOUT NIVEAU;4ème Chakra - Exercices for the heart center;Reaching Me in Me;17;;Méditation pour le 4ème chakra;The Chakras;9;10;https://www.facebook.com/SiriFatehYoga/videos/683915335689275/;https://youtu.be/bbUWnEh7mOo;https://vimeo.com/409149809;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1842020;http://k-yoga.tv/yt-1842020;http://k-yoga.tv/vim-1842020;0,059722222;5160;578;510;0,882352941;464;0,802768166;388;0,671280277
409416915;43940;7;11H00;KUNDALINI;TOUT NIVEAU;7 19/4 11H00 KUNDALINI TOUT NIVEAU;5ème Chakra - Kriya pour le 5ème chakra;Chloé;;;Méditation pour le 5ème chakra;The Chakras;11;;https://www.facebook.com/SiriFatehYoga/videos/596854627570454/;https://youtu.be/wenezFT6PBs;https://vimeo.com/409416915;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1942020;http://k-yoga.tv/yt-1942020;http://k-yoga.tv/vim-1942020;0,056377315;4871;811;747;0,92108508;644;0,794081381;355;0,437731196
409721053;43941;1;12H00;HATHA;TOUT NIVEAU;1 20/4 12H00 HATHA TOUT NIVEAU;Hatha Yoga;;;;Méditation toucher l'air;;;;https://www.facebook.com/SiriFatehYoga/videos/243484163677975/;https://youtu.be/meJjOVOBXNU;https://vimeo.com/409721053;;#KYOGA #YOGA #HATHA;http://k-yoga.tv/fb-2042020;http://k-yoga.tv/yt-2042020;http://k-yoga.tv/vim-2042020;0,060069444;5190;428;382;0,892523364;332;0,775700935;253;0,591121495
409812776;43941;1;17H00;KUNDALINI;NIVEAU AVANCÉ;1 20/4 17H00 KUNDALINI NIVEAU AVANCÉ;Avancé - Balance the body and spine;Reaching Me in Me;7;;Méditation pour guérir des addictions;Manuel de formation;109;435;https://www.facebook.com/SiriFatehYoga/videos/251531062562090/;https://youtu.be/hPx2Tqpl8-g;https://vimeo.com/409812776;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2042020-2;http://k-yoga.tv/yt-2042020-2;http://k-yoga.tv/vim-2042020-2;0,057118056;4935;295;273;0,925423729;243;0,823728814;181;0,613559322
410123310;43942;2;12H00;KUNDALINI;TOUT NIVEAU;2 21/4 12H00 KUNDALINI TOUT NIVEAU;6ème Chakra - Ajna Stimulation Kriya;Chloé;;;Méditation pour le 6ème chakra;The Chakras;12;16;https://www.facebook.com/SiriFatehYoga/videos/2601659040154105/;https://youtu.be/vtw2ITRk06E;https://vimeo.com/410123310;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2142020;http://k-yoga.tv/yt-2142020;http://k-yoga.tv/vim-2142020;0,058240741;5032;438;412;0,940639269;354;0,808219178;281;0,641552511
410697083;43943;3;19H25;KUNDALINI;TOUT NIVEAU;3 22/4 19H25 KUNDALINI TOUT NIVEAU;7ème Chakra - Challenge the Ego in You;Self Knoledge;6;;Méditation opur le 7ème Chakra;The Chakras;17;20;https://www.facebook.com/SiriFatehYoga/videos/248318689873145/;https://youtu.be/RLeLp28bqEo;https://vimeo.com/410697083;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2242020;http://k-yoga.tv/yt-2242020;http://k-yoga.tv/vim-2242020;0,058506944;5055;327;311;0,951070336;277;0,847094801;214;0,654434251
411062957;43944;4;18H00;KUNDALINI;NIVEAU AVANCÉ;4 23/4 18H00 KUNDALINI NIVEAU AVANCÉ;Avancé - Buidling Strength and Vigor;Infinity and Me;15;;Sodarshan Chakra Kriya;Manuel de formation;124;450;https://www.facebook.com/SiriFatehYoga/videos/647693049128615/;https://youtu.be/8S0Rcxf_sWg;https://vimeo.com/411062957;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2342020;http://k-yoga.tv/yt-2342020;http://k-yoga.tv/vim-2342020;0,056516204;4883;263;247;0,939163498;200;0,760456274;150;0,570342205
411354266;43945;5;12H25;KUNDALINI;TOUT NIVEAU;5 24/4 12H25 KUNDALINI TOUT NIVEAU;8ème Chakra - Total Balance Kriya;Libraruy of Teachings;;;Meditation for tuning into the aura;Master's Touch;88;;https://www.facebook.com/SiriFatehYoga/videos/716808932396867/;https://youtu.be/hoAhwvfFtQ4;https://vimeo.com/411354266;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2442020;http://k-yoga.tv/yt-2442020;http://k-yoga.tv/vim-2442020;0,059664352;5155;294;261;0,887755102;255;0,867346939;155;0,527210884
